"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:44OxSeXi6jEU0EFZUW8YAP","Our Prayer","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:1Tf6V7olrJ32d4DhqWVTgM","Smile Sessions","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","2011-01-01","https://i.scdn.co/image/ab67616d0000b273a41cabe4a6ff208c8ccc0741","1","1","64805","https://p.scdn.co/mp3-preview/58f0efff6b0f50eb7dd84efa5d7fefdf3ea2a248?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USCA21101818","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:35:35Z"
"spotify:track:2VRNkdYbYUAOAcw71IqPBx","Because","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:1Ye7yrA7vAlQnoooj8yDXb","Love","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2006-11-17","https://i.scdn.co/image/ab67616d0000b27330503dbc30e621c96913379b","1","1","164631","https://p.scdn.co/mp3-preview/0268c7eee37e3022b1d0f333c58755782ce796bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBAYE0601539","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:36:09Z"
"spotify:track:6MBS3ARYYlI4FtYjaTinK5","Bitter with the Sweet","spotify:artist:319yZVtYM9MBGqmSQnMyY6","Carole King","spotify:album:3kUmJfZkReqIb3ZqB4Q4kv","Rhymes & Reasons","spotify:artist:319yZVtYM9MBGqmSQnMyY6","Carole King","1972-11-01","https://i.scdn.co/image/ab67616d0000b273d87af88d89987b58004670a2","1","6","147466","https://p.scdn.co/mp3-preview/a4b6c309195a5113a5ef1606a5bc8208ffc03d22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM10025000","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:36:28Z"
"spotify:track:5LxvwujISqiB8vpRYv887S","I Want You Back","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","spotify:album:51uoKRa8vT5SULrlF8s2t1","Diana Ross Presents The Jackson 5","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","1969-12-18","https://i.scdn.co/image/ab67616d0000b27316aaf05fe82237576a7d0e38","1","3","176333","https://p.scdn.co/mp3-preview/504a5a3f9e28a41907c91d82a811017559e3c0d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USMO19400306","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:36:52Z"
"spotify:track:4ZVZBc5xvMyV3WzWktn8i7","Everyday People","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","spotify:album:7iwS1r6JHYJe9xpPjzmWqD","Stand","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","1969-05-03","https://i.scdn.co/image/ab67616d0000b273147e35fd67f22f92cb587c3b","1","6","141506","https://p.scdn.co/mp3-preview/99614fb587d12a17a3a054a53048064af25d4066?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM19913826","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:37:15Z"
"spotify:track:74iQ3gahRTOGc19bYadBE3","Thank You (Falettinme Be Mice Elf Agin) - Single Version","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","spotify:album:0UM9SydcBtsklCTFgGLvcT","Greatest Hits","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","1970-11-21","https://i.scdn.co/image/ab67616d0000b273b08f59c7648a7a67130ca0ea","1","12","291320","https://p.scdn.co/mp3-preview/97fb3e06a63957723bbe2790c3d6257536881fd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM19901657","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:37:24Z"
"spotify:track:3NFNs9D6GmXESyUyLJMbsT","Corn Does Grow","spotify:artist:2a4lU7F8toqKpb5v6Ftqya","Theo Katzman","spotify:album:2DfCKCs5PcVe2I3KkmjdLU","Corn Does Grow","spotify:artist:2a4lU7F8toqKpb5v6Ftqya","Theo Katzman","2023-02-10","https://i.scdn.co/image/ab67616d0000b273f91a20f222d2dc1946b27fbc","1","1","225159","https://p.scdn.co/mp3-preview/19f3ce59c25752a75f94d932459eed3bcbbaded9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","TCAGU2358425","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:38:19Z"
"spotify:track:4zmJW5SgjcZx04xxJx5UBg","Alone Again, Naturally","spotify:artist:6pGuw52TrX5SZPdQSxAvgW, spotify:artist:2Oq3sgFa2HSvRY0vL6bDxN, spotify:artist:1BSZmrnlSeYW2BBN56QfJZ","Vulfmon, Monica Martin, Hailey Niswanger","spotify:album:6BwMnR9yKSmf5P5PZFAhlq","Here We Go Jack","spotify:artist:6pGuw52TrX5SZPdQSxAvgW","Vulfmon","2022-08-05","https://i.scdn.co/image/ab67616d0000b273a01eb7ed18ceb34293fc05d9","1","3","211672","https://p.scdn.co/mp3-preview/c3792734db0a6050c425ed47213adda5b773dcd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QZK6P2262648","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:38:45Z"
"spotify:track:4850v7DuT7raVYAWc1ODPv","Summer, Highland Falls","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:7GiLfxL1su3MSqz7pmKMZi","Turnstiles","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1976-05-19","https://i.scdn.co/image/ab67616d0000b273d1731f2c0e1c2c8957f35c76","1","2","199960","https://p.scdn.co/mp3-preview/58b9fa985dfe8e37458b82518cccefe3c42e15cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USSM17600479","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:39:14Z"
"spotify:track:70Znjq5VPKFrwlB7O26SWT","Zanzibar","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1HmCO8VK98AU6EXPOjGYyI","52nd Street","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1978-10-13","https://i.scdn.co/image/ab67616d0000b2731d4675d5a0345bb93686e4b6","1","4","310760","https://p.scdn.co/mp3-preview/e0d9a9eebada202ffac1debbf7ad15e47ee698cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM17800449","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:40:00Z"
"spotify:track:75XQk1ewCddGnDuFMYg2iL","When the Morning Comes","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:47Dmo9RLpgHMusEiF8luvu","Abandoned Luncheonette","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","1973-01-01","https://i.scdn.co/image/ab67616d0000b2734959f78cc9a050555687c4c2","1","1","191493","https://p.scdn.co/mp3-preview/c7b00b5ab4348c5967da169231c13f160985362a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USAT20614603","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:42:23Z"
"spotify:track:3RFtAch6kcnlsf4D9alYxw","Las Vegas Turnaround (The Stewardess Song)","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:6kbDhcPqFi4WlAyYd4CHvQ","Ultimate Daryl Hall & John Oates","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","2003-03-22","https://i.scdn.co/image/ab67616d0000b273df30efb8aaa253e3abd76593","1","2","177640","https://p.scdn.co/mp3-preview/acfd150afaafe5e53ef04a8751c06ed1f73de061?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT20000621","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:42:46Z"
"spotify:track:1eyq8cjUQ2daFthW2PC2GM","Glory of Love","spotify:artist:5xWPOujQqd4wXyB08slZ9Z","Peter Cetera","spotify:album:1O2sEdKLsSHROEyYgUQmnb","Solitude / Solitaire","spotify:artist:5xWPOujQqd4wXyB08slZ9Z","Peter Cetera","1986","https://i.scdn.co/image/ab67616d0000b2739cd3665c5518c19b9ba36676","1","3","258333","https://p.scdn.co/mp3-preview/db8481c754fe86fe6d76c517c089b02013666089?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USWB10000619","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:43:11Z"
"spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA","Easy","spotify:artist:6twIAGnYuIT1pncMAsXnEm","Commodores","spotify:album:2tzbNCAUTmW4MIM2Ulvrwl","Commodores","spotify:artist:6twIAGnYuIT1pncMAsXnEm","Commodores","1977-01-01","https://i.scdn.co/image/ab67616d0000b27340eea368f4fb5f5ee6dcd9a8","1","9","256426","https://p.scdn.co/mp3-preview/10044c94985e802666a02616d3ef63117dd105fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USMO17700543","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:43:19Z"
"spotify:track:5EdlwzcgIAYs2HGvOnczPN","I Just Want To Be Your Everything","spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK","Andy Gibb","spotify:album:3yBKvLLgqZfNTNtoUnq0Uf","Flowing Rivers","spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK","Andy Gibb","1977-09-09","https://i.scdn.co/image/ab67616d0000b2739007e7e22a518d1a8647c70b","1","1","225666","https://p.scdn.co/mp3-preview/9cd1b82a06a3103aacc787b19845a9bab5cc5c06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","NLF057790036","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:43:26Z"
"spotify:track:3cfnGXJ9bmiWvFqEO6ff8B","After the Love Has Gone","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:4RLVTxnuVN5ZWZqBFnaaQt","I Am","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","1979-06","https://i.scdn.co/image/ab67616d0000b2735ccd022a69a4da9551efd988","1","3","278040","https://p.scdn.co/mp3-preview/748f945b4f0e4c8fea2c08e71f49fc18a6db4752?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM19801712","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:43:32Z"
"spotify:track:5WwqdeavrQrbeAMDxGawse","Can't Fight This Feeling","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","spotify:album:35KafpmKh0nDLzBLV75MpR","Wheels Are Turnin'","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","1984-11-05","https://i.scdn.co/image/ab67616d0000b273b815265c56ecfa5136a4015d","1","6","294773","https://p.scdn.co/mp3-preview/47811ce4b58e8fb058e13bdfb21225aa357a5c9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM18400442","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:43:48Z"
"spotify:track:60mGckXEG1EzR4VmjYLfEW","Guilty (feat. Barry Gibb)","spotify:artist:7jmTilWYlKOuavFfmQAcu6, spotify:artist:7Hd38PVp634oGEb9pIDs5d","Barbra Streisand, Barry Gibb","spotify:album:5mMebbufullX8FIhpCxwCt","Guilty","spotify:artist:7jmTilWYlKOuavFfmQAcu6","Barbra Streisand","1980-09-23","https://i.scdn.co/image/ab67616d0000b273788aec6603253d0d95169042","1","1","264333","https://p.scdn.co/mp3-preview/b25563a6b64c27e0f1e578b8e3a8ef81f4cd9147?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USSM10209145","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:44:04Z"
"spotify:track:5zgcmMLv0HpraYWfsm5Plw","Dead Inside Shuffle","spotify:artist:6uIst176jhzooPMetg2rtH","Louis Cole","spotify:album:57Xg6JumEnG5i5MBzJVdT7","Quality Over Opinion","spotify:artist:6uIst176jhzooPMetg2rtH","Louis Cole","2022-10-14","https://i.scdn.co/image/ab67616d0000b2737bed62fe63257e9edfe3bcb4","1","2","200000","https://p.scdn.co/mp3-preview/7e8a3b18be61b94d6a4a2ca807063614829c5b54?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","GBCFB2200257","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:44:35Z"
"spotify:track:6Vcwr9tb3ZLO63F8DL8cqu","Tangled up in Blue","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:4WD4pslu83FF6oMa1e19mF","Blood On The Tracks","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1975-01-17","https://i.scdn.co/image/ab67616d0000b27372ca15b8637acbc7d15ff5ba","1","1","341626","https://p.scdn.co/mp3-preview/baa6feb5a7c646abcb471929ac8124453f5ae30a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM19906468","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:44:45Z"
"spotify:track:2cmRpmO04TLaKPzmAzySYZ","Dance Yrself Clean","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:4hnqM0JK4CM1phwfq1Ldyz","This Is Happening","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2010-05-17","https://i.scdn.co/image/ab67616d0000b273ee0d0dce888c6c8a70db6e8b","1","1","536471","https://p.scdn.co/mp3-preview/f66d555e43408c98cc7d63601559e274822092ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","US4GE1000019","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:45:45Z"
"spotify:track:63CHa6rmamv9OsehkRD8oz","Against All Odds (Take a Look at Me Now) - 2016 Remaster","spotify:artist:4lxfqrEsLX6N1N4OCSkILp","Phil Collins","spotify:album:7yZHLfxqiGPbSQLrVJljah","The Singles (Expanded)","spotify:artist:4lxfqrEsLX6N1N4OCSkILp","Phil Collins","2016-10-14","https://i.scdn.co/image/ab67616d0000b2736731eabe4c268971eeed3c06","1","10","206360","https://p.scdn.co/mp3-preview/521852836c6bfd67f27d4d286e0f9ee509e24f8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRH11603367","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:46:14Z"
"spotify:track:2bwYGPDCC31QTdFca1mQRh","Baby Come Back","spotify:artist:0fgtHVpOPfXb07S8Jx443z","Player","spotify:album:0Jd20cTh3EfVzFQn8GSO9Y","The Best Of Player: Baby Come Back","spotify:artist:0fgtHVpOPfXb07S8Jx443z","Player","1998-01-01","https://i.scdn.co/image/ab67616d0000b273ef0d65084591b500e97a2850","1","1","253733","https://p.scdn.co/mp3-preview/a27bbada11a7460aa34adf894b0741caf8dc9ea2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","NLF057790013","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:46:26Z"
"spotify:track:05XkMS2YVNfPNXepMScPRJ","I Say a Little Prayer","spotify:artist:2JSjCHK79gdaiPWdKiNUNp","Dionne Warwick","spotify:album:39Z6x10tt1CU7zQgEqvKnj","The Windows of the World","spotify:artist:2JSjCHK79gdaiPWdKiNUNp","Dionne Warwick","1967","https://i.scdn.co/image/ab67616d0000b273d1487c0c7d4fb3db10a17ffc","1","1","188360","https://p.scdn.co/mp3-preview/f14858a79b8869e204c820fd9b2d4ce7e8c9418e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USWSP0000078","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:47:00Z"
"spotify:track:2uXlHiOE4o5xHOCiob8DKn","Fly-day Chinatown","spotify:artist:0W2BSNBblzlWTk4bD2A9uR","泰葉","spotify:album:0dO2tsQmsZzsPnR9qDWTlP","Fly-day Chinatown","spotify:artist:0W2BSNBblzlWTk4bD2A9uR","泰葉","1981-09-21","https://i.scdn.co/image/ab67616d0000b27368a5d2cd77f7abef0b964981","1","1","208493","https://p.scdn.co/mp3-preview/764b2abb8d73d9ed3e0f1a51ab0174b06eeb6014?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","JPPO08100570","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:47:26Z"
"spotify:track:2BHj31ufdEqVK5CkYDp9mA","Mayonaka no Door / Stay With Me","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","spotify:album:1ANaxJNBcbOvvycNL4MCL5","Miki Matsubara Best Collection","spotify:artist:4hUmsYcvD8C5zuVSP93jb1","Miki Matsubara","2008","https://i.scdn.co/image/ab67616d0000b27381052badd62d5e14c3377786","1","4","312293","https://p.scdn.co/mp3-preview/c478a85c83fc5911ccf30f2f55786047af129bbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","JPPC07950030","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:47:32Z"
"spotify:track:0P7DoyGrr4Wp9w5TotEtUC","The Weight - Remastered 2000","spotify:artist:4vpDg7Y7fU982Ds30zawDA","The Band","spotify:album:0ky5kdvfPxSmSpj03hpSAE","Music From Big Pink (Remastered)","spotify:artist:4vpDg7Y7fU982Ds30zawDA","The Band","1968-07-01","https://i.scdn.co/image/ab67616d0000b27320bbceac6950d3fe13fa13c3","1","5","274493","https://p.scdn.co/mp3-preview/6080cc872d9a51c72705530a985d2ce9394c390d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USCA20000789","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:47:41Z"
"spotify:track:48XkVAagIoQHCsOlJtXUd5","still feel.","spotify:artist:7sOR7gk6XUlGnxj3p9F54k","half•alive","spotify:album:2KSWrd22LGc0Hmqs2Z5i7z","Now, Not Yet","spotify:artist:7sOR7gk6XUlGnxj3p9F54k","half•alive","2019-08-09","https://i.scdn.co/image/ab67616d0000b273f89d2d949f9671982e9e732c","1","5","247786","https://p.scdn.co/mp3-preview/bb032fd472930d7f5dfe23ae52938e6c06da5300?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBKPL1814938","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:47:52Z"
"spotify:track:6a899bXlCuViXW2Qs8Rdqo","Turn Your Love Around","spotify:artist:4N8BwYTEC6XqykGvXXlmfv","George Benson","spotify:album:1IcNxT9zu74BfNhuHD9MBN","The George Benson Collection","spotify:artist:4N8BwYTEC6XqykGvXXlmfv","George Benson","1981","https://i.scdn.co/image/ab67616d0000b2733a3c381f6910a4fe51c2640b","1","1","230106","https://p.scdn.co/mp3-preview/0579c1c61524442d214bda2d5f82d4f33d3c2184?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USWB10902422","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:48:03Z"
"spotify:track:2kkvB3RNRzwjFdGhaUA0tz","Layla","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","spotify:album:5iIWnMgvSM8uEBwXKsPcXM","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","1970-11-01","https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc","1","13","423840","https://p.scdn.co/mp3-preview/8563d016ae70ed290ba446194adbe39f0cbf3cdb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBUM71028890","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:48:18Z"
"spotify:track:2b9lp5A6CqSzwOrBfAFhof","Crazy Train","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:6aGfK3YpRxZ1rJfaNRckLH","Blizzard of Ozz (Expanded Edition)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","1980-09-20","https://i.scdn.co/image/ab67616d0000b2735776e18c520194c48d92815b","1","2","296200","https://p.scdn.co/mp3-preview/82413173824c77d38be0f2db4456ebf289d12f05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSM11002845","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:48:25Z"
"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","5","232066","https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USRC12201440","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:48:49Z"
"spotify:track:2X485T9Z5Ly0xyaghN73ed","Let It Happen","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","1","467586","https://p.scdn.co/mp3-preview/2cfd4012a9ac9bac50a308cfc17b4173a7a84aae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","AUUM71500292","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:49:03Z"
"spotify:track:0LtOwyZoSNZKJWHqjzADpW","Feels Like We Only Go Backwards","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:3C2MFZ2iHotUQOSBzdSvM7","Lonerism","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2012-01-01","https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193","1","7","192960","https://p.scdn.co/mp3-preview/ad5f51028ee8013a85ee6f9bad1b83615d25094b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","AUUM71200493","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:49:09Z"
"spotify:track:4CeMCGrUZByXsrPUV7Qzsu","A Little Bit Me, a Little Bit You","spotify:artist:320EPCSEezHt1rtbfwH6Ck","The Monkees","spotify:album:2lOaCB2xqljflzUOKGqFoa","Music Box (The Monkees)","spotify:artist:320EPCSEezHt1rtbfwH6Ck","The Monkees","2001","https://i.scdn.co/image/ab67616d0000b2731eb83d542970ea941b60b70a","1","26","168053","https://p.scdn.co/mp3-preview/76c0a0ed7e8300f0199295334ab2548959549974?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USRH10125797","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:49:27Z"
"spotify:track:1Q34tAtTWI6RdW1qzFQiPb","Your Smiling Face","spotify:artist:0vn7UBvSQECKJm2817Yf1P","James Taylor","spotify:album:0Pbc9Jq12a47mQ1z9yIuhn","JT","spotify:artist:0vn7UBvSQECKJm2817Yf1P","James Taylor","1977","https://i.scdn.co/image/ab67616d0000b2735965e1d70e919f2259c1dc90","1","1","165400","https://p.scdn.co/mp3-preview/fb023e25de85c4f8afb79ef89febfffc142a2a52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM17700889","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T19:49:34Z"
